slug,korean,face,bust,battle_face
liu_bei,유비,faces/liu_bei.png,busts/liu_bei.png,battle_faces/liu_bei.png
guan_yu,관우,faces/guan_yu.png,busts/guan_yu.png,battle_faces/guan_yu.png
zhang_fei,장비,faces/zhang_fei.png,busts/zhang_fei.png,battle_faces/zhang_fei.png
zhao_yun,조운,faces/zhao_yun.png,busts/zhao_yun.png,battle_faces/zhao_yun.png
lu_bu,여포,faces/lu_bu.png,busts/lu_bu.png,battle_faces/lu_bu.png
xiahou_dun,하후돈,faces/xiahou_dun.png,busts/xiahou_dun.png,battle_faces/xiahou_dun.png
cao_cao,조조,faces/cao_cao.png,busts/cao_cao.png,battle_faces/cao_cao.png
cao_xing,조흥,faces/cao_xing.png,busts/cao_xing.png,battle_faces/cao_xing.png
taishi_ci,태사자,faces/taishi_ci.png,busts/taishi_ci.png,battle_faces/taishi_ci.png
zhuge_liang,제갈량,faces/zhuge_liang.png,busts/zhuge_liang.png,battle_faces/zhuge_liang.png
huang_zhong,황충,faces/huang_zhong.png,busts/huang_zhong.png,battle_faces/huang_zhong.png
huang_gai,황개,faces/huang_gai.png,busts/huang_gai.png,battle_faces/huang_gai.png
yan_liang,안량,faces/yan_liang.png,busts/yan_liang.png,battle_faces/yan_liang.png
dong_zhuo,동탁,faces/dong_zhuo.png,busts/dong_zhuo.png,battle_faces/dong_zhuo.png
sima_yi,사마의,faces/sima_yi.png,busts/sima_yi.png,battle_faces/sima_yi.png
gan_ning,감녕,faces/gan_ning.png,busts/gan_ning.png,battle_faces/gan_ning.png
yuan_shao,원소,faces/yuan_shao.png,busts/yuan_shao.png,battle_faces/yuan_shao.png
sun_quan,손권,faces/sun_quan.png,busts/sun_quan.png,battle_faces/sun_quan.png
zhou_yu,주유,faces/zhou_yu.png,busts/zhou_yu.png,battle_faces/zhou_yu.png
ma_chao,마초,faces/ma_chao.png,busts/ma_chao.png,battle_faces/ma_chao.png
sun_ce,손책,faces/sun_ce.png,busts/sun_ce.png,battle_faces/sun_ce.png
lu_xun,육손,faces/lu_xun.png,busts/lu_xun.png,battle_faces/lu_xun.png
pang_tong,방통,faces/pang_tong.png,busts/pang_tong.png,battle_faces/pang_tong.png
guo_jia,곽가,faces/guo_jia.png,busts/guo_jia.png,battle_faces/guo_jia.png
dian_wei,전위,faces/dian_wei.png,busts/dian_wei.png,battle_faces/dian_wei.png
xu_chu,허저,faces/xu_chu.png,busts/xu_chu.png,battle_faces/xu_chu.png
zhang_liao,장료,faces/zhang_liao.png,busts/zhang_liao.png,battle_faces/zhang_liao.png
xu_huang,서황,faces/xu_huang.png,busts/xu_huang.png,battle_faces/xu_huang.png
wen_chou,문추,faces/wen_chou.png,busts/wen_chou.png,battle_faces/wen_chou.png
meng_huo,맹획,faces/meng_huo.png,busts/meng_huo.png,battle_faces/meng_huo.png
hua_xiong,화웅,faces/hua_xiong.png,busts/hua_xiong.png,battle_faces/hua_xiong.png
gao_shun,고순,faces/gao_shun.png,busts/gao_shun.png,battle_faces/gao_shun.png
chen_gong,진궁,faces/chen_gong.png,busts/chen_gong.png,battle_faces/chen_gong.png
li_ru,이유,faces/li_ru.png,busts/li_ru.png,battle_faces/li_ru.png
li_jue,이각,faces/li_jue.png,busts/li_jue.png,battle_faces/li_jue.png
guo_si,곽사,faces/guo_si.png,busts/guo_si.png,battle_faces/guo_si.png
zhang_ji,장제,faces/zhang_ji.png,busts/zhang_ji.png,battle_faces/zhang_ji.png
zhang_xiu,장수,faces/zhang_xiu.png,busts/zhang_xiu.png,battle_faces/zhang_xiu.png
jia_xu,가후,faces/jia_xu.png,busts/jia_xu.png,battle_faces/jia_xu.png
xun_yu,순욱,faces/xun_yu.png,busts/xun_yu.png,battle_faces/xun_yu.png
xun_you,순유,faces/xun_you.png,busts/xun_you.png,battle_faces/xun_you.png
cheng_yu,정욱,faces/cheng_yu.png,busts/cheng_yu.png,battle_faces/cheng_yu.png
cao_ren,조인,faces/cao_ren.png,busts/cao_ren.png,battle_faces/cao_ren.png
cao_hong,조홍,faces/cao_hong.png,busts/cao_hong.png,battle_faces/cao_hong.png
cao_pi,조비,faces/cao_pi.png,busts/cao_pi.png,battle_faces/cao_pi.png
cao_zhang,조창,faces/cao_zhang.png,busts/cao_zhang.png,battle_faces/cao_zhang.png
cao_zhi,조식,faces/cao_zhi.png,busts/cao_zhi.png,battle_faces/cao_zhi.png
cao_ang,조앙,faces/cao_ang.png,busts/cao_ang.png,battle_faces/cao_ang.png
cao_chun,조순,faces/cao_chun.png,busts/cao_chun.png,battle_faces/cao_chun.png
cao_rui,조예,faces/cao_rui.png,busts/cao_rui.png,battle_faces/cao_rui.png
